Fecha,unidad,valor_en_gwh,variacion,media_cuatrimestre,nivel_consumo
2022-04-01,GWh,7524,13.091838268450328,5804.5,Alto
2022-04-01,GWh,1286,-82.90802764486975,4164.25,Bajo
2022-04-01,GWh,6238,385.0699844479005,5425.25,Medio
2022-07-01,GWh,7050,13.016992625841617,5524.5,Alto
2022-07-01,GWh,1335,-81.06382978723404,3977.25,Bajo
2022-07-01,GWh,5715,328.08988764044943,5084.5,Medio
2022-10-01,GWh,7404,29.553805774278217,5376.0,Alto
2022-10-01,GWh,1456,-80.33495407887628,3977.5,Bajo
2022-10-01,GWh,5949,308.58516483516485,5131.0,Medio
2023-01-01,GWh,8038,35.11514540258867,5711.75,Alto
2023-01-01,GWh,1496,-81.38840507588952,4234.75,Bajo
2023-01-01,GWh,6542,337.2994652406417,5506.25,Alto
2023-04-01,GWh,7706,17.79272393763376,5945.5,Alto
2023-04-01,GWh,1553,-79.84687256683104,4324.25,Bajo
2023-04-01,GWh,6153,296.2009014810045,5488.5,Medio
2023-07-01,GWh,7136,15.97594669267024,5637.0,Alto
2023-07-01,GWh,1625,-77.22813901345292,4116.75,Bajo
2023-07-01,GWh,5511,239.1384615384615,5106.25,Medio
2023-10-01,GWh,7701,39.73870440936309,5493.25,Alto
2023-10-01,GWh,1662,-78.41838722243864,4124.75,Bajo
2023-10-01,GWh,6039,263.3574007220217,5228.25,Medio
2024-01-01,GWh,8347,38.21824805431362,5937.25,Alto
2024-01-01,GWh,1657,-80.1485563675572,4426.25,Bajo
2024-01-01,GWh,6690,303.7417018708509,5683.25,Alto
2024-04-01,GWh,7935,18.609865470852014,6157.25,Alto
2024-04-01,GWh,1691,-78.68935097668557,4493.25,Bajo
2024-04-01,GWh,6244,269.2489651094027,5640.0,Medio
2024-07-01,GWh,7512,20.30749519538757,5845.5,Alto
2024-07-01,GWh,1792,-76.14483493077742,4309.75,Bajo
2024-07-01,GWh,5721,219.25223214285717,5317.25,Medio
2024-10-01,GWh,8109,41.740954378605146,5783.5,Alto
2024-10-01,GWh,1829,-77.44481440374892,4362.75,Bajo
2024-10-01,GWh,6280,243.35702569710222,5484.75,Medio
